No,Account,Resource,URL,password,role
1,AA-PP-001,arn:aws:s3:::files-1,s3://files-1,dGhpc2lzYXRlc3QwMDEk-1,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-01
2,AA-PP-002,arn:aws:s3:::files-2,s3://files-2,dGhpc2lzYXRlc3QwMDEk-2,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-02
3,AA-PP-003,arn:aws:s3:::files-3,s3://files-3,dGhpc2lzYXRlc3QwMDEk-3,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-03
4,AA-PP-004,arn:aws:s3:::files-4,s3://files-4,dGhpc2lzYXRlc3QwMDEk-4,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-04
5,AA-PP-005,arn:aws:s3:::files-5,s3://files-5,dGhpc2lzYXRlc3QwMDEk-5,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-05
6,AA-PP-006,arn:aws:s3:::files-6,s3://files-6,dGhpc2lzYXRlc3QwMDEk-6,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-06
7,AA-PP-007,arn:aws:s3:::files-7,s3://files-7,dGhpc2lzYXRlc3QwMDEk-7,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-07
8,AA-PP-008,arn:aws:s3:::files-8,s3://files-8,dGhpc2lzYXRlc3QwMDEk-8,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-08
9,AA-PP-009,arn:aws:s3:::files-9,s3://files-9,dGhpc2lzYXRlc3QwMDEk-9,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-09
10,AA-PP-010,arn:aws:s3:::files-10,s3://files-10,dGhpc2lzYXRlc3QwMDEk-10,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-10
11,AA-PP-011,arn:aws:s3:::files-11,s3://files-11,dGhpc2lzYXRlc3QwMDEk-11,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-11
12,AA-PP-012,arn:aws:s3:::files-12,s3://files-12,dGhpc2lzYXRlc3QwMDEk-12,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-12
13,AA-PP-013,arn:aws:s3:::files-13,s3://files-13,dGhpc2lzYXRlc3QwMDEk-13,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-13
14,AA-PP-014,arn:aws:s3:::files-14,s3://files-14,dGhpc2lzYXRlc3QwMDEk-14,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-14
15,AA-PP-015,arn:aws:s3:::files-15,s3://files-15,dGhpc2lzYXRlc3QwMDEk-15,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-15
16,AA-PP-016,arn:aws:s3:::files-16,s3://files-16,dGhpc2lzYXRlc3QwMDEk-16,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-16
17,AA-PP-017,arn:aws:s3:::files-17,s3://files-17,dGhpc2lzYXRlc3QwMDEk-17,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-17
18,AA-PP-018,arn:aws:s3:::files-18,s3://files-18,dGhpc2lzYXRlc3QwMDEk-18,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-18
19,AA-PP-019,arn:aws:s3:::files-19,s3://files-19,dGhpc2lzYXRlc3QwMDEk-19,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-19
20,AA-PP-020,arn:aws:s3:::files-20,s3://files-20,dGhpc2lzYXRlc3QwMDEk-20,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-20
21,AA-PP-021,arn:aws:s3:::files-21,s3://files-21,dGhpc2lzYXRlc3QwMDEk-21,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-21
22,AA-PP-022,arn:aws:s3:::files-22,s3://files-22,dGhpc2lzYXRlc3QwMDEk-22,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-22
23,AA-PP-023,arn:aws:s3:::files-23,s3://files-23,dGhpc2lzYXRlc3QwMDEk-23,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-23
24,AA-PP-024,arn:aws:s3:::files-24,s3://files-24,dGhpc2lzYXRlc3QwMDEk-24,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-24
25,AA-PP-025,arn:aws:s3:::files-25,s3://files-25,dGhpc2lzYXRlc3QwMDEk-25,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-25
26,AA-PP-026,arn:aws:s3:::files-26,s3://files-26,dGhpc2lzYXRlc3QwMDEk-26,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-26
27,AA-PP-027,arn:aws:s3:::files-27,s3://files-27,dGhpc2lzYXRlc3QwMDEk-27,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-27
28,AA-PP-028,arn:aws:s3:::files-28,s3://files-28,dGhpc2lzYXRlc3QwMDEk-28,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-28
29,AA-PP-029,arn:aws:s3:::files-29,s3://files-29,dGhpc2lzYXRlc3QwMDEk-29,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-29
30,AA-PP-030,arn:aws:s3:::files-30,s3://files-30,dGhpc2lzYXRlc3QwMDEk-30,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-30
31,AA-PP-031,arn:aws:s3:::files-31,s3://files-31,dGhpc2lzYXRlc3QwMDEk-31,arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-31
