"No","Account","Resource","URL","password","role"
1,"31337badbeef","arn:aws:s3:::files-1","s3://skills-lab","Welcome123!","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-01"
2,"31337badbeef","arn:aws:s3:::files-2","s3://skills-lab","Welcome123!","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-02"
3,"31337badbeef","arn:aws:s3:::files-3","s3://skills-lab","Welcome123!","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-03"
4,"31337badbeef","arn:aws:s3:::files-4","s3://skills-lab","Welcome123!","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-04"
5,"31337badbeef","arn:aws:s3:::files-5","s3://skills-lab","Welcome123!","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-05"
6,"31337badbeef","arn:aws:s3:::files-6","s3://skills-lab","Welcome123!","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-06"
7,"31337badbeef","arn:aws:s3:::files-7","s3://skills-lab","Welcome123!","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-07"
8,"31337badbeef","arn:aws:s3:::files-8","s3://skills-lab","Welcome123!","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-08"
9,"31337badbeef","arn:aws:s3:::files-9","s3://skills-lab","Welcome123!","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-09"
10,"31337badbeef","arn:aws:s3:::files-10","s3://skills-lab","Welcome123!0","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-10"
11,"31337badbeef","arn:aws:s3:::files-11","s3://skills-lab","Welcome123!1","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-11"
12,"31337badbeef","arn:aws:s3:::files-12","s3://skills-lab","Welcome123!2","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-12"
13,"31337badbeef","arn:aws:s3:::files-13","s3://skills-lab","Welcome123!3","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-13"
14,"31337badbeef","arn:aws:s3:::files-14","s3://skills-lab","Welcome123!4","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-14"
15,"31337badbeef","arn:aws:s3:::files-15","s3://skills-lab","Welcome123!5","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-15"
16,"31337badbeef","arn:aws:s3:::files-16","s3://skills-lab","Welcome123!6","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-16"
17,"31337badbeef","arn:aws:s3:::files-17","s3://skills-lab","Welcome123!7","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-17"
18,"31337badbeef","arn:aws:s3:::files-18","s3://skills-lab","Welcome123!8","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-18"
19,"31337badbeef","arn:aws:s3:::files-19","s3://skills-lab","Welcome123!9","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-19"
20,"31337badbeef","arn:aws:s3:::files-20","s3://skills-lab","Welcome123!0","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-20"
21,"31337badbeef","arn:aws:s3:::files-21","s3://skills-lab","Welcome123!1","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-21"
22,"31337badbeef","arn:aws:s3:::files-22","s3://skills-lab","Welcome123!2","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-22"
23,"31337badbeef","arn:aws:s3:::files-23","s3://skills-lab","Welcome123!3","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-23"
24,"31337badbeef","arn:aws:s3:::files-24","s3://skills-lab","Welcome123!4","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-24"
25,"31337badbeef","arn:aws:s3:::files-25","s3://skills-lab","Welcome123!5","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-25"
26,"31337badbeef","arn:aws:s3:::files-26","s3://skills-lab","Welcome123!6","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-26"
27,"31337badbeef","arn:aws:s3:::files-27","s3://skills-lab","Welcome123!7","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-27"
28,"31337badbeef","arn:aws:s3:::files-28","s3://skills-lab","Welcome123!8","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-28"
29,"31337badbeef","arn:aws:s3:::files-29","s3://skills-lab","Welcome123!9","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-29"
30,"31337badbeef","arn:aws:s3:::files-30","s3://skills-lab","Welcome123!0","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-30"
31,"31337badbeef","arn:aws:s3:::files-31","s3://skills-lab","Welcome123!1","arn:aws:iam::xxx5381584002:role/APIGatewayAccessToS3-31"
